device,num_adversaries,f1,aggregation
pi4-2gb-bc,0,88.36265223274697,coordinate_wise_median
pi4-2gb-wc,0,88.10457516339869,coordinate_wise_median
pi4-4gb,0,86.53175157013257,coordinate_wise_median
All,0,88.03076430059285,coordinate_wise_median
pi3-1gb,1,88.8888888888889,coordinate_wise_median
pi4-2gb-bc,1,88.30449826989619,coordinate_wise_median
pi4-2gb-wc,1,89.03743315508021,coordinate_wise_median
pi4-4gb,1,87.01754385964912,coordinate_wise_median
All,1,88.35549789166396,coordinate_wise_median
pi3-1gb,2,41.112214498510426,coordinate_wise_median
pi4-2gb-bc,2,56.759176365264096,coordinate_wise_median
pi4-2gb-wc,2,56.759176365264096,coordinate_wise_median
pi4-4gb,2,56.37342908438061,coordinate_wise_median
All,2,53.04247990815155,coordinate_wise_median
pi3-1gb,3,54.54545454545454,coordinate_wise_median
pi4-2gb-bc,3,66.66666666666666,coordinate_wise_median
pi4-2gb-wc,3,66.66666666666666,coordinate_wise_median
pi4-4gb,3,66.66666666666666,coordinate_wise_median
All,3,63.829787234042556,coordinate_wise_median
pi3-1gb,4,88.8888888888889,coordinate_wise_median
pi4-2gb-bc,4,88.8888888888889,coordinate_wise_median
pi4-2gb-wc,4,88.8888888888889,coordinate_wise_median
pi4-4gb,4,88.8888888888889,coordinate_wise_median
All,4,88.8888888888889,coordinate_wise_median
pi3-1gb,5,40.95427435387674,coordinate_wise_median
pi4-2gb-bc,5,56.88729874776387,coordinate_wise_median
pi4-2gb-wc,5,56.37342908438061,coordinate_wise_median
pi4-4gb,5,55.72587917042381,coordinate_wise_median
All,5,52.77202668507017,coordinate_wise_median
pi3-1gb,6,41.427155599603566,coordinate_wise_median
pi4-2gb-bc,6,56.502242152466366,coordinate_wise_median
pi4-2gb-wc,6,56.37342908438061,coordinate_wise_median
pi4-4gb,6,57.27029438001784,coordinate_wise_median
All,6,53.177334250974994,coordinate_wise_median
