device,num_adversaries,f1,aggregation,injected
pi4-2gb-bc,1,34.36853002070393,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,1,36.400817995910025,coordinate_wise_median,pi3-1gb
pi4-4gb,1,32.28511530398323,coordinate_wise_median,pi3-1gb
All,1,43.78813766170369,coordinate_wise_median,pi3-1gb
pi3-1gb,2,62.306368330464714,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,2,24.17582417582418,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,2,23.78854625550661,coordinate_wise_median,pi3-1gb
pi4-4gb,2,22.812846068660026,coordinate_wise_median,pi3-1gb
All,2,35.17898532062838,coordinate_wise_median,pi3-1gb
pi3-1gb,3,20.022497187851517,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,3,23.399558498896248,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,3,24.36882546652031,coordinate_wise_median,pi3-1gb
pi4-4gb,3,22.61640798226164,coordinate_wise_median,pi3-1gb
All,3,22.61640798226164,coordinate_wise_median,pi3-1gb
pi3-1gb,4,3.680981595092024,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,4,7.460890493381468,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,4,8.841099163679809,coordinate_wise_median,pi3-1gb
pi4-4gb,4,8.841099163679809,coordinate_wise_median,pi3-1gb
All,4,7.228915662650602,coordinate_wise_median,pi3-1gb
pi3-1gb,0,85.59201141226819,fed_avg,pi4-2gb-bc
pi4-2gb-bc,0,85.79586009992862,fed_avg,pi4-2gb-bc
pi4-2gb-wc,0,85.71428571428571,fed_avg,pi4-2gb-bc
pi4-4gb,0,85.71428571428571,fed_avg,pi4-2gb-bc
All,0,85.70408709619846,fed_avg,pi4-2gb-bc
pi3-1gb,1,66.77768526228142,fed_avg,pi4-2gb-bc
pi4-2gb-bc,1,54.941069809610156,fed_avg,pi4-2gb-bc
pi4-2gb-wc,1,56.759176365264096,fed_avg,pi4-2gb-bc
pi4-4gb,1,50.88536812674743,fed_avg,pi4-2gb-bc
All,1,57.58789497107254,fed_avg,pi4-2gb-bc
pi3-1gb,2,61.94995685936152,fed_avg,pi4-2gb-bc
pi4-2gb-bc,2,32.10912906610703,fed_avg,pi4-2gb-bc
pi4-2gb-wc,2,34.196891191709845,fed_avg,pi4-2gb-bc
pi4-4gb,2,31.401475237091674,fed_avg,pi4-2gb-bc
All,2,41.033283656234474,fed_avg,pi4-2gb-bc
pi3-1gb,3,46.15384615384615,fed_avg,pi4-2gb-bc
pi4-2gb-bc,3,2.9556650246305423,fed_avg,pi4-2gb-bc
