device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi3-1gb,3,19.594594594594593,87,1,199,713,trimmed_mean_2,pi3-1gb
pi4-2gb-bc,3,25.109170305676855,115,1,199,685,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,3,25.109170305676855,115,1,199,685,trimmed_mean_2,pi3-1gb
pi4-4gb,3,25.081788440567067,115,2,198,685,trimmed_mean_2,pi3-1gb
All,3,23.755842727522683,432,5,795,2768,trimmed_mean_2,pi3-1gb
pi3-1gb,4,17.519908987485778,77,2,198,723,trimmed_mean_2,pi3-1gb
pi4-2gb-bc,4,8.841099163679809,37,0,200,763,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,4,10.365135453474677,44,5,195,756,trimmed_mean_2,pi3-1gb
pi4-4gb,4,7.894736842105263,33,3,197,767,trimmed_mean_2,pi3-1gb
All,4,11.231990591002647,191,10,790,3009,trimmed_mean_2,pi3-1gb
pi3-1gb,0,85.91648973814578,607,6,194,193,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,0,85.85643212508883,604,3,197,196,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,0,86.07954545454545,606,2,198,194,coordinate_wise_median,pi3-1gb
pi4-4gb,0,85.47008547008546,600,4,196,200,coordinate_wise_median,pi3-1gb
All,0,85.83096590909092,2417,15,785,783,coordinate_wise_median,pi3-1gb
pi3-1gb,1,68.36065573770492,417,3,197,383,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,1,58.252427184466015,330,3,197,470,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,1,59.12280701754386,337,3,197,463,coordinate_wise_median,pi3-1gb
pi4-4gb,1,56.7350579839429,318,3,197,482,coordinate_wise_median,pi3-1gb
All,1,60.77156480277416,1402,12,788,1798,coordinate_wise_median,pi3-1gb
pi3-1gb,2,68.46846846846847,418,3,197,382,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,2,31.899265477439663,152,1,199,648,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,2,32.88241415192507,158,3,197,642,coordinate_wise_median,pi3-1gb
pi4-4gb,2,30.443974630021142,144,2,198,656,coordinate_wise_median,pi3-1gb
All,2,42.734623866699344,872,9,791,2328,coordinate_wise_median,pi3-1gb
pi3-1gb,3,70.0162074554295,432,2,198,368,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,3,57.34639358860196,322,1,199,478,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,3,58.05309734513274,328,2,198,472,coordinate_wise_median,pi3-1gb
pi4-4gb,3,54.01459854014598,296,0,200,504,coordinate_wise_median,pi3-1gb
All,3,60.13528256600479,1378,5,795,1822,coordinate_wise_median,pi3-1gb
pi3-1gb,4,9.95260663507109,42,2,198,758,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,4,1.7326732673267329,7,1,199,793,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,4,4.634146341463414,19,1,199,781,coordinate_wise_median,pi3-1gb
pi4-4gb,4,1.9704433497536946,8,4,196,792,coordinate_wise_median,pi3-1gb
All,4,4.6285018270401945,76,8,792,3124,coordinate_wise_median,pi3-1gb
pi3-1gb,0,85.75478384124735,605,6,194,195,fed_avg,pi4-2gb-bc
pi4-2gb-bc,0,85.91749644381223,604,2,198,196,fed_avg,pi4-2gb-bc
pi4-2gb-wc,0,85.997171145686,608,6,194,192,fed_avg,pi4-2gb-bc
pi4-4gb,0,85.71428571428572,603,4,196,197,fed_avg,pi4-2gb-bc
All,0,85.84604469670096,2420,18,782,780,fed_avg,pi4-2gb-bc
pi3-1gb,1,68.99918633034987,424,5,195,376,fed_avg,pi4-2gb-bc
pi4-2gb-bc,1,55.20361990950226,305,0,200,495,fed_avg,pi4-2gb-bc
pi4-2gb-wc,1,57.34639358860196,322,1,199,478,fed_avg,pi4-2gb-bc
pi4-4gb,1,54.049135577798005,297,2,198,503,fed_avg,pi4-2gb-bc
All,1,59.1747146619842,1348,8,792,1852,fed_avg,pi4-2gb-bc
pi3-1gb,2,26.190476190476193,121,3,197,679,fed_avg,pi4-2gb-bc
pi4-2gb-bc,2,20.604703247480405,92,1,199,708,fed_avg,pi4-2gb-bc
pi4-2gb-wc,2,19.122609673790773,85,4,196,715,fed_avg,pi4-2gb-bc
