device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi4-2gb-wc,2,0.0,0,0,200,800,trimmed_mean_2
pi4-4gb,2,0.24968789013732834,1,0,200,799,trimmed_mean_2
All,2,0.18732438339057134,3,0,800,3197,trimmed_mean_2
pi3-1gb,3,85.95744680851062,606,4,196,194,trimmed_mean_2
pi4-2gb-bc,3,85.79545454545455,604,4,196,196,trimmed_mean_2
pi4-2gb-wc,3,86.28005657708627,610,4,196,190,trimmed_mean_2
pi4-4gb,3,85.75498575498574,602,2,198,198,trimmed_mean_2
All,3,85.94748048261177,2422,14,786,778,trimmed_mean_2
pi3-1gb,4,1.734820322180917,7,0,200,793,trimmed_mean_2
pi4-2gb-bc,4,5.825242718446601,24,0,200,776,trimmed_mean_2
pi4-2gb-wc,4,6.2953995157385,26,0,200,774,trimmed_mean_2
pi4-4gb,4,5.825242718446601,24,0,200,776,trimmed_mean_2
All,4,4.9375190490704055,81,0,800,3119,trimmed_mean_2
pi3-1gb,5,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-bc,5,0.0,0,0,200,800,trimmed_mean_2
pi4-2gb-wc,5,0.7471980074719801,3,0,200,797,trimmed_mean_2
pi4-4gb,5,0.4987531172069826,2,0,200,798,trimmed_mean_2
All,5,0.37429819089207733,6,0,800,3194,trimmed_mean_2
pi3-1gb,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-bc,6,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-2gb-wc,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-4gb,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
All,6,0.31201248049922004,5,0,800,3195,trimmed_mean_2
pi3-1gb,0,85.87650816181687,605,4,196,195,coordinate_wise_median
pi4-2gb-bc,0,85.79545454545455,604,4,196,196,coordinate_wise_median
pi4-2gb-wc,0,85.79545454545455,604,4,196,196,coordinate_wise_median
pi4-4gb,0,85.53191489361703,603,7,193,197,coordinate_wise_median
All,0,85.74977817213842,2416,19,781,784,coordinate_wise_median
pi3-1gb,1,85.85643212508883,604,3,197,196,coordinate_wise_median
pi4-2gb-bc,1,85.8974358974359,603,1,199,197,coordinate_wise_median
pi4-2gb-wc,1,85.87650816181687,605,4,196,195,coordinate_wise_median
pi4-4gb,1,85.69395017793595,602,3,197,198,coordinate_wise_median
All,1,85.83111111111111,2414,11,789,786,coordinate_wise_median
pi3-1gb,2,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-bc,2,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-wc,2,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-4gb,2,0.2493765586034913,1,1,199,799,coordinate_wise_median
All,2,0.24960998439937598,4,1,799,3196,coordinate_wise_median
pi3-1gb,3,85.6330014224751,602,4,196,198,coordinate_wise_median
pi4-2gb-bc,3,86.01845280340667,606,3,197,194,coordinate_wise_median
pi4-2gb-wc,3,86.09929078014183,607,3,197,193,coordinate_wise_median
pi4-4gb,3,85.81610833927297,602,1,199,198,coordinate_wise_median
All,3,85.89196872778963,2417,11,789,783,coordinate_wise_median
pi3-1gb,4,0.9950248756218907,4,0,200,796,coordinate_wise_median
pi4-2gb-bc,4,6.2953995157385,26,0,200,774,coordinate_wise_median
pi4-2gb-wc,4,6.2953995157385,26,0,200,774,coordinate_wise_median
pi4-4gb,4,4.63980463980464,19,0,200,781,coordinate_wise_median
All,4,4.580152671755725,75,0,800,3125,coordinate_wise_median
pi3-1gb,5,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-bc,5,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-wc,5,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-4gb,5,0.4987531172069826,2,0,200,798,coordinate_wise_median
All,5,0.31201248049922004,5,0,800,3195,coordinate_wise_median
pi3-1gb,6,0.7471980074719801,3,0,200,797,coordinate_wise_median
pi4-2gb-bc,6,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-wc,6,0.4987531172069826,2,0,200,798,coordinate_wise_median
pi4-4gb,6,0.24968789013732834,1,0,200,799,coordinate_wise_median
All,6,0.43654505768631124,7,0,800,3193,coordinate_wise_median
