device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi4-2gb-wc,2,0.0,0,0,200,800,trimmed_mean_2
pi4-4gb,2,0.24968789013732834,1,0,200,799,trimmed_mean_2
All,2,0.18732438339057134,3,0,800,3197,trimmed_mean_2
pi3-1gb,3,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-2gb-bc,3,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-wc,3,0.0,0,0,200,800,trimmed_mean_2
pi4-4gb,3,0.0,0,0,200,800,trimmed_mean_2
All,3,0.18732438339057134,3,0,800,3197,trimmed_mean_2
pi3-1gb,4,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-bc,4,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-wc,4,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-4gb,4,0.4987531172069826,2,0,200,798,trimmed_mean_2
All,4,0.37429819089207733,6,0,800,3194,trimmed_mean_2
pi3-1gb,5,2.712700369913687,11,0,200,789,trimmed_mean_2
pi4-2gb-bc,5,6.0606060606060606,25,0,200,775,trimmed_mean_2
pi4-2gb-wc,5,6.529625151148731,27,0,200,773,trimmed_mean_2
pi4-4gb,5,4.878048780487806,20,0,200,780,trimmed_mean_2
All,5,5.0563508985683825,83,0,800,3117,trimmed_mean_2
pi3-1gb,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-bc,6,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-2gb-wc,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-4gb,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
All,6,0.31201248049922004,5,0,800,3195,trimmed_mean_2
pi3-1gb,0,85.87650816181687,605,4,196,195,coordinate_wise_median
pi4-2gb-bc,0,85.79545454545455,604,4,196,196,coordinate_wise_median
pi4-2gb-wc,0,85.79545454545455,604,4,196,196,coordinate_wise_median
pi4-4gb,0,85.53191489361703,603,7,193,197,coordinate_wise_median
All,0,85.74977817213842,2416,19,781,784,coordinate_wise_median
pi3-1gb,1,85.85643212508883,604,3,197,196,coordinate_wise_median
pi4-2gb-bc,1,85.8974358974359,603,1,199,197,coordinate_wise_median
pi4-2gb-wc,1,85.87650816181687,605,4,196,195,coordinate_wise_median
pi4-4gb,1,85.69395017793595,602,3,197,198,coordinate_wise_median
All,1,85.83111111111111,2414,11,789,786,coordinate_wise_median
pi3-1gb,2,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-bc,2,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-wc,2,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-4gb,2,0.2493765586034913,1,1,199,799,coordinate_wise_median
All,2,0.24960998439937598,4,1,799,3196,coordinate_wise_median
pi3-1gb,3,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-bc,3,0.4987531172069826,2,0,200,798,coordinate_wise_median
pi4-2gb-wc,3,0.4987531172069826,2,0,200,798,coordinate_wise_median
pi4-4gb,3,0.24968789013732834,1,0,200,799,coordinate_wise_median
All,3,0.37429819089207733,6,0,800,3194,coordinate_wise_median
pi3-1gb,4,0.9950248756218907,4,0,200,796,coordinate_wise_median
pi4-2gb-bc,4,6.2953995157385,26,0,200,774,coordinate_wise_median
pi4-2gb-wc,4,6.2953995157385,26,0,200,774,coordinate_wise_median
pi4-4gb,4,4.63980463980464,19,0,200,781,coordinate_wise_median
All,4,4.580152671755725,75,0,800,3125,coordinate_wise_median
pi3-1gb,5,0.0,0,0,200,800,coordinate_wise_median
pi4-2gb-bc,5,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-wc,5,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-4gb,5,0.4987531172069826,2,0,200,798,coordinate_wise_median
All,5,0.24968789013732834,4,0,800,3196,coordinate_wise_median
pi3-1gb,6,0.7471980074719801,3,0,200,797,coordinate_wise_median
pi4-2gb-bc,6,0.24968789013732834,1,0,200,799,coordinate_wise_median
pi4-2gb-wc,6,0.4987531172069826,2,0,200,798,coordinate_wise_median
pi4-4gb,6,0.24968789013732834,1,0,200,799,coordinate_wise_median
All,6,0.43654505768631124,7,0,800,3193,coordinate_wise_median
