device,num_adversaries,f1,aggregation
All,1,43.32925336597307,coordinate_wise_median
pi3-1gb,2,14.169570267131244,coordinate_wise_median
pi4-2gb-bc,2,63.7137989778535,coordinate_wise_median
pi4-2gb-wc,2,64.75063398140321,coordinate_wise_median
pi4-4gb,2,62.896315338474714,coordinate_wise_median
All,2,54.0478905359179,coordinate_wise_median
pi3-1gb,3,5.825242718446601,coordinate_wise_median
pi4-2gb-bc,3,50.60690943043884,coordinate_wise_median
pi4-2gb-wc,3,51.439182915506045,coordinate_wise_median
pi4-4gb,3,46.449136276391556,coordinate_wise_median
All,3,40.55804683607375,coordinate_wise_median
pi3-1gb,4,0.0,coordinate_wise_median
pi4-2gb-bc,4,72.10231814548361,coordinate_wise_median
pi4-2gb-wc,4,73.01587301587301,coordinate_wise_median
pi4-4gb,4,70.96774193548387,coordinate_wise_median
All,4,59.37156668863987,coordinate_wise_median
pi3-1gb,5,0.0,coordinate_wise_median
pi4-2gb-bc,5,41.427155599603566,coordinate_wise_median
pi4-2gb-wc,5,46.3016330451489,coordinate_wise_median
pi4-4gb,5,40.31936127744511,coordinate_wise_median
All,5,33.85254413291797,coordinate_wise_median
pi3-1gb,6,7.460890493381468,coordinate_wise_median
pi4-2gb-bc,6,36.400817995910025,coordinate_wise_median
pi4-2gb-wc,6,37.06720977596741,coordinate_wise_median
pi4-4gb,6,36.567926455566905,coordinate_wise_median
All,6,30.238726790450926,coordinate_wise_median
