device,num_adversaries,f1,aggregation
pi4-2gb-wc,0,23.982398239823986,coordinate_wise_median
pi4-4gb,0,25.136612021857918,coordinate_wise_median
All,0,19.718309859154928,coordinate_wise_median
pi3-1gb,1,8.15347721822542,coordinate_wise_median
pi4-2gb-bc,1,47.908745247148296,coordinate_wise_median
pi4-2gb-wc,1,42.51968503937008,coordinate_wise_median
pi4-4gb,1,45.857418111753375,coordinate_wise_median
All,1,37.56345177664975,coordinate_wise_median
pi3-1gb,2,19.2090395480226,coordinate_wise_median
pi4-2gb-bc,2,78.60394537177542,coordinate_wise_median
pi4-2gb-wc,2,77.95575896262396,coordinate_wise_median
pi4-4gb,2,76.63839629915189,coordinate_wise_median
All,2,66.97152359176887,coordinate_wise_median
pi3-1gb,3,6.0606060606060606,coordinate_wise_median
pi4-2gb-bc,3,72.59729944400317,coordinate_wise_median
pi4-2gb-wc,3,70.74939564867043,coordinate_wise_median
pi4-4gb,3,69.96753246753246,coordinate_wise_median
All,3,59.33728330041694,coordinate_wise_median
pi3-1gb,4,52.67034990791897,coordinate_wise_median
pi4-2gb-bc,4,81.30081300813008,coordinate_wise_median
pi4-2gb-wc,4,81.55767817781042,coordinate_wise_median
pi4-4gb,4,80.50784167289021,coordinate_wise_median
All,4,75.11188947266005,coordinate_wise_median
pi3-1gb,5,22.61640798226164,coordinate_wise_median
pi4-2gb-bc,5,56.502242152466366,coordinate_wise_median
pi4-2gb-wc,5,59.40246045694201,coordinate_wise_median
pi4-4gb,5,58.28166519043402,coordinate_wise_median
All,5,50.60690943043884,coordinate_wise_median
pi3-1gb,6,77.73584905660378,coordinate_wise_median
pi4-2gb-bc,6,90.9526662672259,coordinate_wise_median
pi4-2gb-wc,6,91.54929577464789,coordinate_wise_median
pi4-4gb,6,94.75,coordinate_wise_median
All,6,89.29818990155604,coordinate_wise_median
