device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-2gb-bc,3,60.30267753201397,259,0,150,341,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,3,58.58823529411764,249,1,149,351,trimmed_mean_2,pi3-1gb
pi4-4gb,3,57.24465558194775,241,1,149,359,trimmed_mean_2,pi3-1gb
All,3,58.15393689177234,986,5,595,1414,trimmed_mean_2,pi3-1gb
pi3-1gb,4,52.579852579852584,214,0,150,386,trimmed_mean_2,pi3-1gb
pi4-2gb-bc,4,66.66666666666666,300,0,150,300,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,4,66.51835372636263,299,0,150,301,trimmed_mean_2,pi3-1gb
pi4-4gb,4,65.47085201793722,292,0,150,308,trimmed_mean_2,pi3-1gb
All,4,63.05278174037089,1105,0,600,1295,trimmed_mean_2,pi3-1gb
pi3-1gb,0,0.0,0,0,150,600,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,0,57.65124555160143,243,0,150,357,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,0,59.813084112149525,256,0,150,344,coordinate_wise_median,pi3-1gb
pi4-4gb,0,59.3200468933177,253,0,150,347,coordinate_wise_median,pi3-1gb
All,0,47.71573604060914,752,0,600,1648,coordinate_wise_median,pi3-1gb
pi3-1gb,1,14.241486068111453,46,0,150,554,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,1,77.04918032786885,376,0,150,224,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,1,77.17502558853633,377,0,150,223,coordinate_wise_median,pi3-1gb
pi4-4gb,1,77.72126144455748,382,1,149,218,coordinate_wise_median,pi3-1gb
All,1,65.94081518704634,1181,1,599,1219,coordinate_wise_median,pi3-1gb
pi3-1gb,2,72.06823027718549,338,0,150,262,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,2,85.38681948424069,447,0,150,153,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,2,85.60533841754051,449,0,150,151,coordinate_wise_median,pi3-1gb
pi4-4gb,2,85.5513307984791,450,2,148,150,coordinate_wise_median,pi3-1gb
All,2,82.42780225159079,1684,2,598,716,coordinate_wise_median,pi3-1gb
pi3-1gb,3,11.320754716981131,36,0,150,564,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,3,66.22073578595317,297,0,150,303,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,3,66.36971046770601,298,0,150,302,coordinate_wise_median,pi3-1gb
pi4-4gb,3,67.47519294377068,306,1,149,294,coordinate_wise_median,pi3-1gb
All,3,56.14140203714799,937,1,599,1463,coordinate_wise_median,pi3-1gb
pi3-1gb,4,54.191980558930744,223,0,150,377,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,4,66.22073578595317,297,0,150,303,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,4,65.16853932584269,290,0,150,310,coordinate_wise_median,pi3-1gb
pi4-4gb,4,66.51835372636263,299,0,150,301,coordinate_wise_median,pi3-1gb
All,4,63.20889142205757,1109,0,600,1291,coordinate_wise_median,pi3-1gb
pi3-1gb,0,81.9253438113949,417,1,149,183,fed_avg,pi4-2gb-bc
pi4-2gb-bc,0,89.50276243093923,486,0,150,114,fed_avg,pi4-2gb-bc
pi4-2gb-wc,0,88.49721706864565,477,1,149,123,fed_avg,pi4-2gb-bc
pi4-4gb,0,89.90825688073394,490,0,150,110,fed_avg,pi4-2gb-bc
All,0,87.54681647940075,1870,2,598,530,fed_avg,pi4-2gb-bc
pi3-1gb,1,91.62916291629163,509,2,148,91,fed_avg,pi4-2gb-bc
pi4-2gb-bc,1,92.28007181328546,514,0,150,86,fed_avg,pi4-2gb-bc
pi4-2gb-wc,1,91.500904159132,506,0,150,94,fed_avg,pi4-2gb-bc
pi4-4gb,1,90.8098271155596,499,0,150,101,fed_avg,pi4-2gb-bc
All,1,91.55756207674945,2028,2,598,372,fed_avg,pi4-2gb-bc
pi3-1gb,2,26.08695652173913,90,0,150,510,fed_avg,pi4-2gb-bc
pi4-2gb-bc,2,88.78990348923533,598,149,1,2,fed_avg,pi4-2gb-bc
pi4-2gb-wc,2,88.87240356083086,599,149,1,1,fed_avg,pi4-2gb-bc
pi4-4gb,2,89.26974664679582,599,143,7,1,fed_avg,pi4-2gb-bc
All,2,79.7969113602708,1886,441,159,514,fed_avg,pi4-2gb-bc
pi3-1gb,3,44.76067270375162,173,0,150,427,fed_avg,pi4-2gb-bc
pi4-2gb-bc,3,88.54003139717426,564,110,40,36,fed_avg,pi4-2gb-bc
pi4-2gb-wc,3,88.715953307393,570,115,35,30,fed_avg,pi4-2gb-bc
pi4-4gb,3,89.62848297213623,579,113,37,21,fed_avg,pi4-2gb-bc
All,3,81.57439446366782,1886,338,262,514,fed_avg,pi4-2gb-bc
pi3-1gb,4,0.0,0,0,150,600,fed_avg,pi4-2gb-bc
pi4-2gb-bc,4,56.4659427443238,286,127,23,314,fed_avg,pi4-2gb-bc
pi4-2gb-wc,4,56.287425149700596,282,120,30,318,fed_avg,pi4-2gb-bc
pi4-4gb,4,60.13448607108548,313,128,22,287,fed_avg,pi4-2gb-bc
All,4,48.194748358862135,881,375,225,1519,fed_avg,pi4-2gb-bc
pi3-1gb,0,85.27724665391969,446,0,150,154,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,0,85.27724665391969,446,0,150,154,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,0,85.27724665391969,446,0,150,154,trimmed_mean,pi4-2gb-bc
pi4-4gb,0,85.71428571428571,450,0,150,150,trimmed_mean,pi4-2gb-bc
All,0,85.38681948424069,1788,0,600,612,trimmed_mean,pi4-2gb-bc
pi3-1gb,1,85.49618320610688,448,0,150,152,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,1,86.7924528301887,460,0,150,140,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,1,87.3477038425492,466,1,149,134,trimmed_mean,pi4-2gb-bc
pi4-4gb,1,88.68274582560296,478,0,150,122,trimmed_mean,pi4-2gb-bc
All,1,87.09146484834234,1852,1,599,548,trimmed_mean,pi4-2gb-bc
pi3-1gb,2,72.20447284345047,339,0,150,261,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,2,90.2283105022831,494,1,149,106,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,2,90.31078610603291,494,0,150,106,trimmed_mean,pi4-2gb-bc
pi4-4gb,2,93.15555555555555,524,1,149,76,trimmed_mean,pi4-2gb-bc
All,2,87.04443921937455,1851,2,598,549,trimmed_mean,pi4-2gb-bc
pi3-1gb,3,43.137254901960794,165,0,150,435,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,3,89.43089430894308,495,12,138,105,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,3,89.79223125564589,497,10,140,103,trimmed_mean,pi4-2gb-bc
pi4-4gb,3,96.64660361134997,562,1,149,38,trimmed_mean,pi4-2gb-bc
All,3,83.00338000965718,1719,23,577,681,trimmed_mean,pi4-2gb-bc
pi3-1gb,4,57.3127229488704,241,0,150,359,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,4,84.75120385232745,528,118,32,72,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,4,84.73767885532591,533,125,25,67,trimmed_mean,pi4-2gb-bc
pi4-4gb,4,84.70588235294117,540,135,15,60,trimmed_mean,pi4-2gb-bc
All,4,79.74025974025973,1842,378,222,558,trimmed_mean,pi4-2gb-bc
pi3-1gb,0,66.66666666666666,300,0,150,300,trimmed_mean_2,pi4-2gb-bc
