device,num_adversaries,f1,aggregation,injected
pi4-2gb-bc,1,81.77339901477832,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,1,81.77339901477832,coordinate_wise_median,pi3-1gb
pi4-4gb,1,83.15481986368061,coordinate_wise_median,pi3-1gb
All,1,68.74487284659557,coordinate_wise_median,pi3-1gb
pi3-1gb,2,0.0,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,2,51.85185185185185,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,2,48.86649874055416,coordinate_wise_median,pi3-1gb
pi4-4gb,2,51.301115241635685,coordinate_wise_median,pi3-1gb
All,2,40.58452341414812,coordinate_wise_median,pi3-1gb
pi3-1gb,3,1.9801980198019802,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,3,59.64912280701754,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,3,56.801909307875896,coordinate_wise_median,pi3-1gb
pi4-4gb,3,62.54295532646048,coordinate_wise_median,pi3-1gb
All,3,48.67591424968474,coordinate_wise_median,pi3-1gb
pi3-1gb,4,82.58801141769744,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,4,38.70967741935484,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,4,38.49259757738896,coordinate_wise_median,pi3-1gb
pi4-4gb,4,41.479524438573314,coordinate_wise_median,pi3-1gb
All,4,53.29286798179059,coordinate_wise_median,pi3-1gb
pi3-1gb,0,85.93155893536121,fed_avg,pi4-2gb-bc
pi4-2gb-bc,0,88.26815642458101,fed_avg,pi4-2gb-bc
pi4-2gb-wc,0,88.68274582560296,fed_avg,pi4-2gb-bc
pi4-4gb,0,89.2988929889299,fed_avg,pi4-2gb-bc
All,0,88.05970149253731,fed_avg,pi4-2gb-bc
pi3-1gb,1,54.54545454545454,fed_avg,pi4-2gb-bc
pi4-2gb-bc,1,65.7718120805369,fed_avg,pi4-2gb-bc
pi4-2gb-wc,1,63.169897377423034,fed_avg,pi4-2gb-bc
pi4-4gb,1,65.01687289088865,fed_avg,pi4-2gb-bc
All,1,62.26685796269727,fed_avg,pi4-2gb-bc
pi3-1gb,2,4.241435562805872,fed_avg,pi4-2gb-bc
pi4-2gb-bc,2,65.40084388185655,fed_avg,pi4-2gb-bc
pi4-2gb-wc,2,63.72443487621098,fed_avg,pi4-2gb-bc
pi4-4gb,2,65.74468085106383,fed_avg,pi4-2gb-bc
All,2,54.11078717201166,fed_avg,pi4-2gb-bc
pi3-1gb,3,26.33863965267728,fed_avg,pi4-2gb-bc
pi4-2gb-bc,3,73.74517374517376,fed_avg,pi4-2gb-bc
pi4-2gb-wc,3,72.44401168451802,fed_avg,pi4-2gb-bc
pi4-4gb,3,74.95183044315992,fed_avg,pi4-2gb-bc
All,3,65.084388185654,fed_avg,pi4-2gb-bc
pi3-1gb,4,17.905918057663126,fed_avg,pi4-2gb-bc
pi4-2gb-bc,4,54.22045680238331,fed_avg,pi4-2gb-bc
pi4-2gb-wc,4,54.929577464788736,fed_avg,pi4-2gb-bc
pi4-4gb,4,55.89692765113974,fed_avg,pi4-2gb-bc
All,4,48.351049332243115,fed_avg,pi4-2gb-bc
pi3-1gb,0,78.29614604462475,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,0,82.35294117647058,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,0,83.94584139264991,trimmed_mean,pi4-2gb-bc
pi4-4gb,0,84.39306358381504,trimmed_mean,pi4-2gb-bc
All,0,82.29524276606179,trimmed_mean,pi4-2gb-bc
pi3-1gb,1,79.75951903807615,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,1,75.25987525987526,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,1,73.68421052631578,trimmed_mean,pi4-2gb-bc
pi4-4gb,1,76.16099071207431,trimmed_mean,pi4-2gb-bc
All,1,76.25676720804331,trimmed_mean,pi4-2gb-bc
pi3-1gb,2,40.0,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,2,81.2015503875969,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,2,79.37131630648331,trimmed_mean,pi4-2gb-bc
pi4-4gb,2,84.36911487758945,trimmed_mean,pi4-2gb-bc
All,2,73.58881408596581,trimmed_mean,pi4-2gb-bc
pi3-1gb,3,0.0,trimmed_mean,pi4-2gb-bc
