device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,5,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-2gb-bc,5,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-2gb-wc,5,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-4gb,5,0.24968789013732834,1,0,200,799,trimmed_mean_2
All,5,0.37429819089207733,6,0,800,3194,trimmed_mean_2
pi3-1gb,6,0.0,0,0,200,800,trimmed_mean_2
pi4-2gb-bc,6,0.0,0,0,200,800,trimmed_mean_2
pi4-2gb-wc,6,0.0,0,0,200,800,trimmed_mean_2
pi4-4gb,6,0.0,0,0,200,800,trimmed_mean_2
All,6,0.0,0,0,800,3200,trimmed_mean_2
pi3-1gb,0,2.9556650246305423,12,0,200,788,coordinate_wise_median
pi4-2gb-bc,0,47.61904761904761,250,0,200,550,coordinate_wise_median
pi4-2gb-wc,0,46.00577478344562,239,0,200,561,coordinate_wise_median
pi4-4gb,0,47.908745247148296,252,0,200,548,coordinate_wise_median
All,0,38.097647356438145,753,0,800,2447,coordinate_wise_median
pi3-1gb,1,24.17582417582418,110,0,200,690,coordinate_wise_median
pi4-2gb-bc,1,60.50566695727986,347,0,200,453,coordinate_wise_median
pi4-2gb-wc,1,62.896315338474714,367,0,200,433,coordinate_wise_median
pi4-4gb,1,63.36464560204953,371,0,200,429,coordinate_wise_median
All,1,54.379977246871434,1195,0,800,2005,coordinate_wise_median
pi3-1gb,2,3.9215686274509802,16,0,200,784,coordinate_wise_median
pi4-2gb-bc,2,30.508474576271187,144,0,200,656,coordinate_wise_median
pi4-2gb-wc,2,32.63598326359833,156,0,200,644,coordinate_wise_median
pi4-4gb,2,35.22142121524202,171,0,200,629,coordinate_wise_median
All,2,26.417141307295903,487,0,800,2713,coordinate_wise_median
pi3-1gb,3,0.4987531172069826,2,0,200,798,coordinate_wise_median
pi4-2gb-bc,3,27.77179763186222,129,0,200,671,coordinate_wise_median
pi4-2gb-wc,3,26.2757871878393,121,0,200,679,coordinate_wise_median
pi4-4gb,3,26.464208242950104,122,0,200,678,coordinate_wise_median
All,3,20.92893116955792,374,0,800,2826,coordinate_wise_median
pi3-1gb,4,0.0,0,0,200,800,coordinate_wise_median
pi4-2gb-bc,4,41.26984126984127,208,0,200,592,coordinate_wise_median
pi4-2gb-wc,4,42.209072978303745,214,0,200,586,coordinate_wise_median
pi4-4gb,4,41.427155599603566,209,0,200,591,coordinate_wise_median
All,4,32.941790655181414,631,0,800,2569,coordinate_wise_median
pi3-1gb,5,0.0,0,0,200,800,coordinate_wise_median
pi4-2gb-bc,5,32.460732984293195,155,0,200,645,coordinate_wise_median
pi4-2gb-wc,5,33.85254413291797,163,0,200,637,coordinate_wise_median
pi4-4gb,5,31.401475237091674,149,0,200,651,coordinate_wise_median
All,5,25.470411780747206,467,0,800,2733,coordinate_wise_median
pi3-1gb,6,0.0,0,0,200,800,coordinate_wise_median
pi4-2gb-bc,6,23.008849557522126,104,0,200,696,coordinate_wise_median
pi4-2gb-wc,6,22.024471635150167,99,0,200,701,coordinate_wise_median
pi4-4gb,6,22.024471635150167,99,0,200,701,coordinate_wise_median
All,6,17.24728726442033,302,0,800,2898,coordinate_wise_median
