device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi4-2gb-bc,2,88.42398884239888,634,0,200,166,trimmed_mean_2
pi4-2gb-wc,2,88.19007686932216,631,0,200,169,trimmed_mean_2
pi4-4gb,2,88.0335899230231,629,0,200,171,trimmed_mean_2
All,2,83.3879781420765,2289,1,799,911,trimmed_mean_2
pi3-1gb,3,31.756046267087278,151,0,200,649,trimmed_mean_2
pi4-2gb-bc,3,63.94557823129251,376,0,200,424,trimmed_mean_2
pi4-2gb-wc,3,64.75063398140321,383,0,200,417,trimmed_mean_2
pi4-4gb,3,63.36464560204953,371,0,200,429,trimmed_mean_2
All,3,57.174737781745144,1281,0,800,1919,trimmed_mean_2
pi3-1gb,4,4.161566707466341,17,0,200,783,trimmed_mean_2
pi4-2gb-bc,4,60.10452961672475,345,3,197,455,trimmed_mean_2
pi4-2gb-wc,4,58.532272325375764,331,0,200,469,trimmed_mean_2
pi4-4gb,4,60.7484769364665,349,0,200,451,trimmed_mean_2
All,4,49.09305064782097,1042,3,797,2158,trimmed_mean_2
pi3-1gb,5,46.845124282982795,245,1,199,555,trimmed_mean_2
pi4-2gb-bc,5,3.9215686274509802,16,0,200,784,trimmed_mean_2
pi4-2gb-wc,5,3.194103194103194,13,1,199,787,trimmed_mean_2
pi4-4gb,5,5.5893074119076545,23,0,200,777,trimmed_mean_2
All,5,16.976278936839098,297,2,798,2903,trimmed_mean_2
pi3-1gb,6,88.8888888888889,800,200,0,0,trimmed_mean_2
pi4-2gb-bc,6,88.69080779944291,796,199,1,4,trimmed_mean_2
pi4-2gb-wc,6,88.8765294771969,799,199,1,1,trimmed_mean_2
pi4-4gb,6,88.6781929726715,795,198,2,5,trimmed_mean_2
All,6,88.78374617311438,3190,796,4,10,trimmed_mean_2
pi3-1gb,0,9.069212410501192,38,0,200,762,coordinate_wise_median
pi4-2gb-bc,0,82.2663723325975,559,0,200,241,coordinate_wise_median
pi4-2gb-wc,0,83.1263696128561,569,0,200,231,coordinate_wise_median
pi4-4gb,0,80.50784167289021,539,0,200,261,coordinate_wise_median
All,0,69.52089704383283,1705,0,800,1495,coordinate_wise_median
pi3-1gb,1,2.4660912453760795,10,1,199,790,coordinate_wise_median
pi4-2gb-bc,1,55.855855855855864,310,0,200,490,coordinate_wise_median
pi4-2gb-wc,1,56.37342908438061,314,0,200,486,coordinate_wise_median
pi4-4gb,1,54.01459854014598,296,0,200,504,coordinate_wise_median
All,1,45.025417574437185,930,1,799,2270,coordinate_wise_median
pi3-1gb,2,29.78723404255319,140,0,200,660,coordinate_wise_median
pi4-2gb-bc,2,84.47653429602889,585,0,200,215,coordinate_wise_median
pi4-2gb-wc,2,84.83105679367362,590,1,199,210,coordinate_wise_median
pi4-4gb,2,83.9738941261784,579,0,200,221,coordinate_wise_median
All,2,74.34739941118744,1894,1,799,1306,coordinate_wise_median
pi3-1gb,3,22.197558268590456,100,1,199,700,coordinate_wise_median
pi4-2gb-bc,3,74.99999999999999,480,0,200,320,coordinate_wise_median
pi4-2gb-wc,3,76.35239567233386,494,0,200,306,coordinate_wise_median
pi4-4gb,3,74.99999999999999,480,0,200,320,coordinate_wise_median
All,3,65.36277602523658,1554,1,799,1646,coordinate_wise_median
pi3-1gb,4,49.43609022556391,263,1,199,537,coordinate_wise_median
pi4-2gb-bc,4,85.6330014224751,602,4,196,198,coordinate_wise_median
pi4-2gb-wc,4,85.14285714285714,596,4,196,204,coordinate_wise_median
pi4-4gb,4,85.16129032258065,594,1,199,206,coordinate_wise_median
All,4,78.06267806267807,2055,10,790,1145,coordinate_wise_median
pi3-1gb,5,60.7484769364665,349,0,200,451,coordinate_wise_median
pi4-2gb-bc,5,79.81995498874718,532,1,199,268,coordinate_wise_median
pi4-2gb-wc,5,79.51807228915662,528,0,200,272,coordinate_wise_median
pi4-4gb,5,78.60394537177542,518,0,200,282,coordinate_wise_median
All,5,75.15600624024961,1927,1,799,1273,coordinate_wise_median
pi3-1gb,6,75.75057736720555,492,7,193,308,coordinate_wise_median
pi4-2gb-bc,6,83.91866913123845,681,142,58,119,coordinate_wise_median
pi4-2gb-wc,6,85.73155985489721,709,145,55,91,coordinate_wise_median
pi4-4gb,6,87.42293464858199,709,113,87,91,coordinate_wise_median
All,6,83.60761535979348,2591,407,393,609,coordinate_wise_median
